ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24T603,,,5001-PM03-BR-BR1-35-24T603,35-24T603 BROKE COLLECTION TNK 40M3
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LC-559,,,35-24LC-559 LVL CONTROLLER
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-071,,,35-24-071 IN LN
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-072,,,35-24-072 IN LN PP-700
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-065,,,35-24-065 IN LN PP-300
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1114,,35-24-1114 VLV CHK
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1099,,35-24-1099 VLV CHK
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-066,,,35-24-066 IN LN PP-900
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-126,,35-24-126 VLV HV
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-123,,35-24-123 VLV HV
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-1098,,,35-24-1098 IN VLV NC
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-121,,,35-24-121 OUT VLV NC
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-1130,,,35-24-1130 BTM VLV NC
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-067,,,35-24-067 OUT LN PP-150
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-074,,,35-24-074 LN WAB-20
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-208,,,35-24-208 LN PP-100
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24T603.1,,,35-24T603.1
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-603.1,,,35-24-603.1
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24T603.2,,,35-24T603.2
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-603.2,,,35-24-603.2
