ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L003,,,5001-PM03-BR-BR1-35-24L003,35-24L003 SIZE PRESS PLPR
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LC-560,,,35-24LC-560 LVL CONTROLLER
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-560,,,35-24LV1-560 LVL VLV AV
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV2-560,,,35-24LV2-560 LVL VLV AV
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-077,,,35-24-077 PP-250 IN LN
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-078,,,35-24-078 PP-900 DIS LN
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-108,,35-24-108 VLV HV
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-107,,35-24-107 VLV HV
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-230,,,35-24-230 IN LN
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-111,,,35-24-111 LN VLV NC
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-110,,,35-24-110 LN VLV HV
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-113,,,35-24-113 LN VLV NC
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L003.1,,,35-24L003.1
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L003.2,,,35-24L003.2
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L003.3,,,35-24L003.3
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L003.4,,,35-24L003.4
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-003.4,,,35-24-003.4
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-003.3,,,35-24-003.3
