ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P515,,,5001-PM03-BR-BR1-35-24P515,35-24P515 THICKENED BROKE PMP
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-155,,,35-24-155 SUCT LN PP-150
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-025,,35-24-025 SUCT ISOL VLV HV
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-156,,,35-24-156 SUCT LN PP-400
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-026,,35-24-026 SUCT ISOL VLV HV
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-024,,35-24-024 SUCT ISOL VLV HV
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1137,,35-24-1137 SUCT VLV NC
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-158,,,35-24-158 DISCH LN PP-400
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-021,,35-24-021 DISCH CHK VLV CHK
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24HV-633,,35-24HV-633 DISCH ISOL VLV AV
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24NV-634,,35-24NV-634 DISCH VLV NC
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-154,,,35-24-154 RECIRC LN PP-700
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-201,,35-24-201 RECIRC VLV HV
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24FC-631,,,35-24FC-631 FL CONTROLLER
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P515.1,,,35-24P515.1
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-515.1,,,35-24-515.1
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P515.2,,,35-24P515.2
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-515.2,,,35-24-515.2
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P515.3,,,35-24P515.3
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-515.3,,,35-24-515.3
23,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P515.4,,,35-24P515.4
24,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-515.4,,,35-24-515.4
25,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-027,,,35-24-027
