ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24-024,,,5001-PM03-BR-BR1-35-24-024,35-24-024 WFL LN DN15
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24TV-9261,,,35-24TV-9261 TEMP CTRL VLV AV
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-165,,,35-24-165 ISOL VLV HV
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-163,,,35-24-163 ISOL VLV NC
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24PI-9262,,35-24PI-9262 PR IND
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FI-9263,,35-24FI-9263 FL IND
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FS-521,,35-24FS-521 FS
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-159,,,35-24-159 ISOL VLV NC
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24PI-9264,,35-24PI-9264 PR IND
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FI-9265,,35-24FI-9265 FL IND
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FS-525,,35-24FS-525 FS
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24PI-9266,,35-24PI-9266 PR IND
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24FI-9267,,35-24FI-9267 FL IND
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-024,,,35-24-024
