ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L001,,,5001-PM03-BR-BR1-35-24L001,35-24L001 PRESS PLPR HP-50G2
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-001.1,,,35-24-001.1 PRESS PLPR RTR 1 MTR
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-001.2,,,35-24-001.2 PRESS PLPR RTR 2 MTR
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LC-576,,,35-24LC-576 PLPR LVL CTRL
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV2-576,,,35-24LV2-576 LVL VLV AV
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24XS-588,,,35-24XS-588 MCS SIGNAL
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-095,,,35-24-095 PP-200 PLPR LN
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-096,,,35-24-096 PP-900 PLPR LN
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-207,,35-24-207 VLV HV
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1105,,35-24-1105 VLV AV
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-217,,35-24-217 VLV NC
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-100,,,35-24-100 PP-250 PLPR LN
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-089,,35-24-089 VLV HV
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-101,,,35-24-101 PP-150 PLPR LN
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-108,,,35-24-108 PP-100 PLPR LN
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-234,,,35-24-234 VLV CHK
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L001.1,,,35-24L001.1
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L001.2,,,35-24L001.2
