ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24L007,,,5001-PM03-BR-BR1-35-24L007,35-24L007 SLABBING PLPR HP-33G2
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-007.1,,,35-24-007.1 SLABBING PLPR MTR 1
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-007.2,,,35-24-007.2 SLABBING PLPR MTR 2
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-007.3,,,35-24-007.3 SLABBING PLPR MTR 3
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-007.4,,,35-24-007.4 SLABBING PLPR MTR 4
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LC-518,,,35-24LC-518 LVL CTRL INST
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV1-518,,,35-24LV1-518 LVL VLV AV
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24LV2-518,,,35-24LV2-518 LVL VLV AV
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-023,,,35-24-023 PP-200 IN LN
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-160,,35-24-160 VLV AV
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-164,,35-24-164 VLV HV
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1095,,35-24-1095 VLV NC
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-216,,35-24-216 VLV HV
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-025,,,35-24-025 PP-600 DIS LN
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-227,,35-24-227 VLV HV
18,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1106,,35-24-1106 VLV NC
19,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-161,,35-24-161 VLV HV
20,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-027,,,35-24-027 PP-250 LN
21,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1096,,35-24-1096 VLV CHK
22,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-029,,,35-24-029 PP-600 LN
23,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L007.1,,,35-24L007.1
24,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L007.2,,,35-24L007.2
25,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L007.3,,,35-24L007.3
26,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24L007.4,,,35-24L007.4
