ORDER,SITE,LINE,PROCESS,SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
1,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,,5001-PM03-BR,BROKE SYSTEM
2,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,,,,5001-PM03-BR-BR1,BROKE SYSTEM
3,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,BR1,35-24P511,,,5001-PM03-BR-BR1-35-24P511,35-24P511 BROKE COLL PMP 60L/S
4,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-065,,,35-24-065 SUCT LN PP-300
5,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-130,,35-24-130 ISOL VLV HV
6,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-129,,35-24-129 ISOL VLV HV
7,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1114,,35-24-1114 ISOL VLV NC
8,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1099,,35-24-1099 ISOL VLV NC
9,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-066,,,35-24-066 DIS LN PP-900
10,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-1098,,35-24-1098 ISOL VLV NC
11,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-121,,35-24-121 ISOL VLV HV
12,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,,35-24-229,,35-24-229 ISOL VLV HV
13,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-131,,,35-24-131 DRN VLV NC FLS
14,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P511.1,,,35-24P511.1
15,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-511.1,,,35-24-511.1
16,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24P511.2,,,35-24P511.2
17,"Shotton Paper Mill, United Kingdom",Shotton PM3,Broke System,,,35-24-511.2,,,35-24-511.2
