SUB-PROCESS,FUNCTION,EQUIPMENT,SUB-EQUIPMENT,MASK,DESCRIPTION
BR1,35-24L001,,,5001-PM03-BR-BR1-35-24L001,35-24L001 PRESS PLPR HP-50G2
,,35-24-001.1,,,35-24-001.1 PRESS PLPR RTR 1 MTR
,,35-24-001.2,,,35-24-001.2 PRESS PLPR RTR 2 MTR
,,35-24LC-576,,,35-24LC-576 PLPR LVL CTRL
,,35-24XS-588,,,35-24XS-588 MCS SIGNAL
,,35-24NC-577,,,35-24NC-577 PLPR CTRL
,,35-24-095,,,35-24-095 PP-200 PLPR OUT LN
,,,35-24LV2-576,,35-24LV2-576 LVL CTRL VLV AV
,,,35-24-234,,35-24-234 VLV CHK
,,35-24-096,,,35-24-096 PP-900 PLPR LN
,,,35-24-207,,35-24-207 VLV HV
,,,35-24-217,,35-24-217 VLV NC
,,,35-24-093,,35-24-093 VLV NC
,,,35-24-1105,,35-24-1105 VLV AV
,,35-24-100,,,35-24-100 PP-250 PLPR LN
,,35-24-101,,,35-24-101 PP-150 PLPR LN
,,35-24-108,,,35-24-108 PP-100 PLPR LN
,,35-24L001.1,,,35-24L001.1
,,35-24L001.2,,,35-24L001.2
,,35-24L001.3,,,35-24L001.3
,,35-24-001.3,,,35-24-001.3
,,35-24L001.4,,,35-24L001.4
,,35-24-001.4,,,35-24-001.4
BR1,35-24L002,,,5001-PM03-BR-BR1-35-24L002,35-24L002 BROKE THICKENER GT-2540
,,35-24-002.1,,,35-24-002.1 THICKENER MTR 15KW 1500RPM
,,35-24XS-662,,,35-24XS-662 E-STOP
,,35-24-149,,,35-24-149 WAA-300 IN LN
,,,35-24-033,,35-24-033 VLV HV
,,35-24-150,,,35-24-150 WAA-400 LN
,,35-24-152,,,35-24-152 PP-300 DIS LN
,,,35-24-1110,,35-24-1110 VLV NC
,,,35-24LV-622,,35-24LV-622 LVL CTRL VLV AV
,,,35-24LC-622,,35-24LC-622 LVL CONTROLLER
,,35-24-032,,,35-24-032 VLV HV
,,35-24-029,,,35-24-029 VLV HV
,,35-24HV-623,,,35-24HV-623 ISOL VLV AV
,,35-24-030,,,35-24-030 VLV HV
,,35-24HV-626,,,35-24HV-626 ISOL VLV AV
,,35-24HV-628,,,35-24HV-628 ISOL VLV AV
,,35-24L002.1,,,35-24L002.1
